record_id	concept_id	name	source	sha256	ownership	disposition	canonical_path	provenance_id	agents	public_reason
repo-optional-codex-delegation	codex-delegation	codex-delegation	repository	a4f3cc87da59d9f15240c7099df48cbc7f84bdf513ef6c6c7d90765fe4518dd8	repository	optional	optional-skills/codex-delegation/SKILL.md	-	claude	Reviewed first-party body shipped for manual opt-in.
repo-optional-collaborator-handoff	collaborator-handoff	collaborator-handoff	repository	52d25e97b8cf33cfcded472c5c59a23cd76f1e09bd16d6c2cbb51a87d710d351	repository	optional	optional-skills/collaborator-handoff/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-compact-handoff	compact-handoff	compact-handoff	repository	eb6a851243ce8a8e81571fa9ff0e80fcd06ed21a7772c7390c125e4a0e1f3aca	repository	optional	optional-skills/compact-handoff/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-concise	concise	concise	repository	2e4b86b91022bff010113000336af24c0dc9e2e905e649f651e113900d473db9	repository	optional	optional-skills/concise/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-email-to-md	email-to-md	email-to-md	repository	f0e32f70f0eaf9ae9be4d05c36a684a8af6c358bd0569fa891f835e4b575b274	repository	optional	optional-skills/email-to-md/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-explain-code	explain-code	explain-code	repository	2c8c48aea86b776541cd7632c6103fab68f4f1577a60c25db6275690e8bb26a3	repository	optional	optional-skills/explain-code/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-extract	extract	extract	repository	57b55ee6a3ccf277d21dd4fae3f802896c84d4e948707f8f5d51f81c50f8ebe3	repository	optional	optional-skills/extract/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-find-skills	find-skills	find-skills	repository	37c34301837df9b339eaa59f90f7b618ba9096e067953176478ede05f90afc3f	repository	optional	optional-skills/find-skills/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-gws	gws	gws	repository	785358bcc58a1dfcc80c1002e5cf8d6415e7acec5bcdbbc333bea3b35faa56d2	repository	optional	optional-skills/gws/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-markdown-to-pdf	markdown-to-pdf	markdown-to-pdf	repository	ac9da136c23606c4f7125d1098b012b4dd09025762320231cea15f6d4168ee8e	repository	optional	optional-skills/markdown-to-pdf/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-mem-search	mem-search	mem-search	repository	c6469ea2fdc95f7aa85a0b46becde3dcbbca1043ef392758da4525697d2deec0	repository	optional	optional-skills/mem-search/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-optimize-code	optimize-code	optimize-code	repository	951f6bf23f41ce442a27f8d92e83630eedca3358f05dd260dbdd53ce9b5655cf	repository	optional	optional-skills/optimize-code/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-promote	promote	promote	repository	c6945f1882b60a7c94e7fa79bb3d0c45aff627dffaa1a0e9ec37877cb4db09e1	repository	optional	optional-skills/promote/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-ship-it	ship-it	ship-it	repository	4c2d83c875322a573de4cbd255fc3e426fad2cbca9d88d8f87498e741bcad22f	repository	optional	optional-skills/ship-it/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-simplify-code	simplify-code	simplify-code	repository	b69aa7319ba3c12eca96b8c6aea0b9ddb8f272c778d71792cf64d1595610f899	repository	optional	optional-skills/simplify-code/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-skill-eval	skill-eval	skill-eval	repository	753dd4c8f17300959deba57b4bfe137e0410d31c536e41763a1b20640b5575ba	repository	optional	optional-skills/skill-eval/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-spinner	spinner	spinner	repository	58121149e49d64cda01e4b9bc71864d6822cff77b1ca366539ab96800ad9cdcf	repository	optional	optional-skills/spinner/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-ui-demo	ui-demo	ui-demo	repository	8bb56deec8a8259d3b3a0d486eb434d4d5c1746914d9c4a1d27643d0e27a717f	repository	optional	optional-skills/ui-demo/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
repo-optional-ultracode	ultracode	ultracode	repository	c5ceb396b486be671c8eaf9b04870b9047e1c13e5d2f6e6b2eecb1b7b850dadd	repository	optional	optional-skills/ultracode/SKILL.md	-	codex	Reviewed first-party body shipped for manual opt-in.
repo-optional-ultrathink	ultrathink	ultrathink	repository	0740e6d9469eee86979aaf54febfed5fd94e64b7116dce63c839f3bc5a072ffe	repository	optional	optional-skills/ultrathink/SKILL.md	-	codex	Reviewed first-party body shipped for manual opt-in.
repo-optional-vidi	vidi	vidi	repository	3221e280641a227a0d6a73fd2388edc1005b9204ab1c746f6a4e1afcafbb3203	repository	optional	optional-skills/vidi/SKILL.md	-	all	Reviewed first-party body shipped for manual opt-in.
agents-backup-bak-combo-20260714-024605	backup-combo-20260714-024605	.bak-combo-20260714-024605	agents-backup	-	generated	excluded	-	-	shared	Generated backup snapshot excluded; the live skill record is represented separately.
agents-shared-agent-reach	agent-reach	agent-reach	agents-shared	e6b1cfd553132933feed966acbd9e2f8f65d17f9fcbeeaf452dc5d7ef7d77c39	third-party	pointer	-	agent-reach	shared	Third-party bundle remains at its attributed upstream; no local body or login state is shipped.
agents-shared-apps	apps	apps	agents-shared	991e85013f77afd17148ee63bae3482767520ff27c9902d52dbf109cc95ed269	system	superseded	-	-	shared	Machine-specific pack wrapper replaced by the public pack manifest.
agents-shared-authentic	authentic	authentic	agents-shared	4a92104ff5570c229d1f3d71ba4d0f0c313bd4019aa6ddfc1bd32855e60b31ef	author	superseded	-	-	shared	Local variant is cataloged by fingerprint; the reviewed repository body owns this concept.
agents-shared-bmad-review-edge-case-hunter	bmad-review-edge-case-hunter	bmad-review-edge-case-hunter	agents-shared	75826885c25a53e5ad12dcd36421d0d778ce671309cc2a5bc9ccb3aa483d781d	third-party	pointer	-	bmad-edge-case-review	shared	Exact local derivative is unverified; the BMAD family pointer is published instead of the body.
agents-shared-bookend	bookend	bookend	agents-shared	29a67537343ce8cc496062f1b87a373f5e60304737f04853bd57086e7e9a7f61	author	superseded	-	-	shared	Local variant is cataloged by fingerprint; the reviewed repository body owns this concept.
agents-shared-brainstorming	brainstorming	brainstorming	agents-shared	9fe6dbc6e8f308e51d1bab9ceede7c9d704802b5de5754b961aa4eafd5596da9	third-party	superseded	-	superpowers-skills	shared	Third-party local variant is fingerprinted and replaced by the independent repository reimplementation.
agents-shared-ce-brainstorm	ce-brainstorm	ce-brainstorm	agents-shared	6ee827ba6a0d08ba3beada39f2721770d2175e1052723d74ea088661f06977b6	third-party	pointer	-	compound-engineering	shared	Third-party Compound Engineering workflow is represented by its upstream pointer.
agents-shared-ce-code-review	ce-code-review	ce-code-review	agents-shared	75951ae8ce5adfbd383e0347919228b2fcff639c394210bd7258c4abdc4b4a6d	third-party	pointer	-	compound-engineering	shared	Third-party Compound Engineering workflow is represented by its upstream pointer.
agents-shared-ce-compound	ce-compound	ce-compound	agents-shared	a2181570e27d207f4dbfacea734c0a2f382a5a95a4fc597aef7d4ff11fa81a76	third-party	pointer	-	compound-engineering	shared	Third-party Compound Engineering workflow is represented by its upstream pointer.
agents-shared-ce-debug	ce-debug	ce-debug	agents-shared	1e6e0975724bee77081efbc366e7e3b0ff497e23da7a140b8220928fe7eded7f	third-party	pointer	-	compound-engineering	shared	Third-party Compound Engineering workflow is represented by its upstream pointer.
agents-shared-ce-plan	ce-plan	ce-plan	agents-shared	dad1d82319ae68443e236e3f5dc36115a9c2cb12953abe5ffee5d89897bbe813	third-party	pointer	-	compound-engineering	shared	Third-party Compound Engineering workflow is represented by its upstream pointer.
agents-shared-ce-simplify-code	ce-simplify-code	ce-simplify-code	agents-shared	b6cf3d5f432237f6562fdbc08359a5599b75cd5837497a242944f06a7501c437	third-party	pointer	-	compound-engineering	shared	Third-party Compound Engineering workflow is represented by its upstream pointer.
agents-shared-ce-test-browser	ce-test-browser	ce-test-browser	agents-shared	2666341554d7fbb7a6a391bfa3a54a103e67abe37ff74da14d1bbcf2f6c8c56e	third-party	pointer	-	compound-engineering	shared	Third-party Compound Engineering workflow is represented by its upstream pointer.
agents-shared-ce-work	ce-work	ce-work	agents-shared	3937aaa435f5850f808c6d543ecf4040df5dec837246d7bb85500d1f1e3e73f3	third-party	pointer	-	compound-engineering	shared	Third-party Compound Engineering workflow is represented by its upstream pointer.
agents-shared-collaborator-handoff	collaborator-handoff	collaborator-handoff	agents-shared	8997e1ce0a828c574328d67047fe02d8406a919ac6f342c307ca61adabbe413d	author	superseded	-	-	shared	Local variant is cataloged by fingerprint; the reviewed repository body owns this concept.
agents-shared-common-ground	common-ground	common-ground	agents-shared	7acd8b05516393ef9abf961ad50084e2d7ac37cc30374cd2635f4f785cda700d	author	superseded	-	-	shared	Local variant is cataloged by fingerprint; the reviewed repository body owns this concept.
agents-shared-compact-handoff	compact-handoff	compact-handoff	agents-shared	17cd40cb0d5276c466d01e14f18ea9bc3c343880a724206f49ed176a890ee63c	author	superseded	-	-	shared	Local variant is cataloged by fingerprint; the reviewed repository body owns this concept.
agents-shared-concise	concise	concise	agents-shared	d57c13f6b88336798234f67b49bdbd83d99253c1f55da548fa908438cc1b4761	author	superseded	-	-	shared	Local variant is cataloged by fingerprint; the reviewed repository body owns this concept.
agents-shared-deep-research	deep-research	deep-research	agents-shared	bdbb40cc1a330d1649eea56112265e0278237976bbc0290a3249ef1e86901708	third-party	pointer	-	deep-research-plugin	shared	Third-party deep-research plugin is represented by its upstream pointer.
agents-shared-delegating-work	delegating-work	delegating-work	agents-shared	e79c9a2d21edc80ddc39cf063492dadbdc6153542eb62ed05c00f0740f5d3eb8	author	superseded	-	-	shared	Local variant is cataloged by fingerprint; the reviewed repository body owns this concept.
agents-shared-design	design	design	agents-shared	0713c3cca3f790ceabb7d009ac1ab0931569b417d01d4b76ff75173ef0af3c57	system	superseded	-	-	shared	Machine-specific pack wrapper replaced by the public pack manifest.
agents-shared-docx	docx	docx	agents-shared	671ae885ea1affa460b1f71f2417c61ca1d118548b3252a72ad5e3107c18850d	third-party	pointer	-	anthropic-document-skills	shared	Proprietary local bundle is fingerprinted but its body and helper payloads are excluded.
agents-shared-doubt-driven-development	doubt-driven-development	doubt-driven-development	agents-shared	975b908f5639d149fdf659170dd2c24b649fd8a8b3ca3006440e13f5027e3b36	author	superseded	-	-	shared	Local variant is cataloged by fingerprint; the reviewed repository body owns this concept.
agents-shared-dr	deep-research	dr	agents-shared	99731178904f4703a623891d7c73d23e7efc25d33bfe46ad95cd280b08062c95	author	superseded	-	-	shared	Local entrypoint superseded by the attributed deep-research plugin pointer.
agents-shared-dr-run	deep-research	dr-run	agents-shared	7447e5206035ac3601842f0d98558ece861a831299cbe5697f487bc26f4d0d04	author	superseded	-	-	shared	Local entrypoint superseded by the attributed deep-research plugin pointer.
agents-shared-efficient-frontier	optimize-code	efficient-frontier	agents-shared	3dd5f9aec1841e25f0b4991c5ee9d5ac004cf86478301c2ceb49ccc1d034d50c	author	superseded	-	-	shared	Earlier optimization workflow consolidated into the measured optimize-code opt-in.
agents-shared-email-to-md	email-to-md	email-to-md	agents-shared	b1a3f44a467a0026f6ac767087c3188c3afae1204023a94cb5740f78f516392d	author	superseded	-	-	shared	Local variant is cataloged by fingerprint; the reviewed repository body owns this concept.
agents-shared-exa	exa	exa	agents-shared	2bce25a17c1a76bf10e14acce5afbb6673811083921af64af76454975d8fe4b8	author	superseded	-	-	shared	Local variant is cataloged by fingerprint; the reviewed repository body owns this concept.
agents-shared-explain-code	explain-code	explain-code	agents-shared	bd818b2dfc159a354b04697282bdd8338466998e49c06ae4b009804f1d2b8519	author	superseded	-	-	shared	Local variant is cataloged by fingerprint; the reviewed repository body owns this concept.
agents-shared-extract	extract	extract	agents-shared	4698fe0c7abe69b7df6270515df52210e551cf97a4c0a9ffa8e898499c268fc4	author	superseded	-	-	shared	Local variant is cataloged by fingerprint; the reviewed repository body owns this concept.
agents-shared-find-skills	find-skills	find-skills	agents-shared	c00eeea0e13e74fe4a9d84ba0a8542205a1b736d65f13134fe1a6647eb14976f	author	superseded	-	-	shared	Local variant is cataloged by fingerprint; the reviewed repository body owns this concept.
agents-shared-firecrawl	firecrawl	firecrawl	agents-shared	cc4dd6534b0e8733dea26bba0e272df256f96c1abe82cdf0ae095fc9ebb737a0	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-agent	firecrawl-agent	firecrawl-agent	agents-shared	9a8badff132ebea1b049ebb8404a4bc5f52e4485f9136e27b4a6e92584306324	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-build	firecrawl-build	firecrawl-build	agents-shared	f6b1d4c2f9f014390095e09a10ecdfe1c6f3c8f66e01d5da4df87952a9e0945f	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-build-interact	firecrawl-build-interact	firecrawl-build-interact	agents-shared	cb28225617a633afef90b03a928c4d22b64dd1672b5c41f98792577df1c2bf84	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-build-onboarding	firecrawl-build-onboarding	firecrawl-build-onboarding	agents-shared	cc8b77a25f924343f6363bacb2ac6f0fafa00780ea94165dac86ab83f688626c	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-build-scrape	firecrawl-build-scrape	firecrawl-build-scrape	agents-shared	c85122ac58b7ea64c3613534428b7f85cd66fe1b1758a5d94ca1094548ada575	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-build-search	firecrawl-build-search	firecrawl-build-search	agents-shared	e18d80ecfff5ddae40dd19f8360973b1996a55af16a81dbccc91aa754c5e691c	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-company-directories	firecrawl-company-directories	firecrawl-company-directories	agents-shared	a270d3d9172e0048879a6e703f3815f85b90dbfff72a059a864b82ebb3fa2e95	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-competitive-intel	firecrawl-competitive-intel	firecrawl-competitive-intel	agents-shared	a73942c75fa84a520b858ad5eff72550e1d8a21824be27e36d5ba544e2c18d15	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-crawl	firecrawl-crawl	firecrawl-crawl	agents-shared	a5ddaae261c6c2c42884b28bceebd9fe9e89acae186d90c903f129d7339488e5	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-dashboard-reporting	firecrawl-dashboard-reporting	firecrawl-dashboard-reporting	agents-shared	ab9605d8576967f0203fa60379ba87ff4876a866f43d227998da473ee6d0815e	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-deep-research	firecrawl-deep-research	firecrawl-deep-research	agents-shared	bd59275e2f854be2cac50d50b5626930e1c3034f2b9082df31c80ce6928e61ad	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-demo-walkthrough	firecrawl-demo-walkthrough	firecrawl-demo-walkthrough	agents-shared	8d32a50f6b2b66a78db69e1bf68f9e7e9fd51e5cc5ea62bdad025ddd79745a8b	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-download	firecrawl-download	firecrawl-download	agents-shared	8c734be50e335cf8d371a32a691d3bedd09c78b2a9b2698fc5a5a62ae416a867	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-interact	firecrawl-interact	firecrawl-interact	agents-shared	f6ddfc4b857a7c54052e2a3fdf6531be0d7f512f85c9b4bb9cd183fc783ef60c	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-knowledge-base	firecrawl-knowledge-base	firecrawl-knowledge-base	agents-shared	33ec3a6223b07f7dd486e08d829ed3be68bf5e4ad29ccdfcdf26d2058f043723	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-knowledge-ingest	firecrawl-knowledge-ingest	firecrawl-knowledge-ingest	agents-shared	2b8cbf4b0faeac3941c9a8ad73677ebdea5f10058b4d630b20b05c150d8ce2b7	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-lead-gen	firecrawl-lead-gen	firecrawl-lead-gen	agents-shared	f009c55a3f4d3b2cb11205cea485be26277be832a6c956c8aefa1fd5b97c3309	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-lead-research	firecrawl-lead-research	firecrawl-lead-research	agents-shared	1b52c42404c564aeb3a6a221165792f1194470b8159a6e89f9578d72c820ee84	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-map	firecrawl-map	firecrawl-map	agents-shared	55e6ea4076bdda1aec82efb76115d5124f5ab8e6dc4efb403267219c9e693a8d	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-market-research	firecrawl-market-research	firecrawl-market-research	agents-shared	9ec1040c5abdead2efd5cd5c996e41a3ae36b7716f558c0aa9444c1944cbc5dd	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-monitor	firecrawl-monitor	firecrawl-monitor	agents-shared	ff3a9ed21dc1c4e3373d75e9b29aeec69a7227e7cb6c4b2f80767d056cd4c98d	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-parse	firecrawl-parse	firecrawl-parse	agents-shared	c6f694cab0dbfddc2eb2325b224b230180b3ce8703741725ac2f0e939032d7e2	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-qa	firecrawl-qa	firecrawl-qa	agents-shared	f8f0c23d22f0440c0486fdfed27d82a06cfda7eb62da1d0ba21b2416595d0280	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-research-index	firecrawl-research-index	firecrawl-research-index	agents-shared	b3be488a25857b5b4a633c45d362b8b84129aed8d51b16a05d7b215c6685a6f3	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-research-papers	firecrawl-research-papers	firecrawl-research-papers	agents-shared	92285877318318ae8e5f7f1906b12860914012a56cab0971ba8c83ca580d8a95	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-scrape	firecrawl-scrape	firecrawl-scrape	agents-shared	4fd52e6478dc8964aaf738c067a54dcf9441bf5e001e6dc3023e608bd68009b2	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-search	firecrawl-search	firecrawl-search	agents-shared	e946e2b4062da5df881f26b4de05a9c9e54d133b996de67ff488a464bac9bf77	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-seo-audit	firecrawl-seo-audit	firecrawl-seo-audit	agents-shared	a04bf7f3806fef718e48ad05ad20d38548410b2d51b92a4ad43cd8838068e0bc	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-shop	firecrawl-shop	firecrawl-shop	agents-shared	aafea0f0ecdf3a098492635b5f1a24ff4b8cf339945170beee8b75ce12ff4f0c	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-website-design-clone	firecrawl-website-design-clone	firecrawl-website-design-clone	agents-shared	94b1beac10274c974396a9289d4ae6e28e6cd0f09cd7d273dd0e85c2dd2f7787	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-firecrawl-workflows	firecrawl-workflows	firecrawl-workflows	agents-shared	de5c475d3a38896d2617767cc605aaf01385785980c25c0490cf3b59c4dfeb68	third-party	pointer	-	firecrawl-agent-skills	shared	Third-party Firecrawl bundle remains upstream; only this fingerprint and pointer are published.
agents-shared-grill-with-docs	grill-with-docs	grill-with-docs	agents-shared	7570664bfb28077163e27ac1484c2a433d4277f8bff5d22f9b91446815107e77	unknown	superseded	-	-	shared	Local variant is cataloged by fingerprint; the reviewed repository body owns this concept.
agents-shared-growth	growth	growth	agents-shared	88783792ea87e1854c3df145ba4f3e6288cba8d0246574e8d547433a3ecf3c31	author	superseded	-	-	shared	Machine-specific pack wrapper replaced by the public pack manifest.
agents-shared-gws	gws	gws	agents-shared	a217cedc01136aa74297fcd12b565e379a4a9f187e0d145cf6449b18bec15420	author	superseded	-	-	shared	Local variant is cataloged by fingerprint; the reviewed repository body owns this concept.
agents-shared-handoff	handoff	handoff	agents-shared	c6b82b1bf2fa402275e677d0619381d08d474d775b92cc34081b968212066bfa	author	superseded	-	-	shared	Local variant is cataloged by fingerprint; the reviewed repository body owns this concept.
